,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
407,AHNAK2,ERG,R-407,-1.0,4.043230800199515,-0.2328653678618316,3.5939451766083024e-08,2.9571532954120023,2.1104608703991325,1.0,0.75,4,3
406,AHNAK2,ERG,R-406,-1.0,4.043230800199515,-0.2555559840685075,1.3256145871451056e-09,5.32921765571519,4.6145684680914405,1.0,0.75,4,3
405,AHNAK2,ERG,R-405,-1.0,4.043230800199515,-0.3014158475266842,5.95323363621895e-13,7.0691065972396085,7.885749640174017,1.0,0.75,4,3
2076,AHNAK2,NR2F6,R-2076,1.0,4.175960598607342,0.5858001137628567,1.0512497277779776e-51,2.319772414295543,1.4896331655714632,1.0,0.0909090909090909,11,1
566,AHNAK2,ETV1,R-566,1.0,2.5257968515373386,0.572997906429097,4.724716595681486e-49,5.299659330532277,4.563924173932962,1.0,0.3846153846153846,13,5
565,AHNAK2,ETV1,R-565,1.0,2.5257968515373386,0.5406149382450106,7.737361882484567e-43,7.309211812697862,8.13456616546589,1.0,0.3846153846153846,13,5
572,AHNAK2,ETV1,R-572,1.0,2.5257968515373386,0.6913183895062488,5.971678499005844e-79,2.8902728173900183,2.030999113593287,1.0,0.3846153846153846,13,5
575,AHNAK2,ETV1,R-575,1.0,2.5257968515373386,0.309843947802821,1.2322209533459424e-13,2.968850997052793,2.069997039682155,1.0,0.3846153846153846,13,5
577,AHNAK2,ETV1,R-577,1.0,2.5257968515373386,0.5433032052882864,2.501569786482745e-43,3.563188528387732,2.638299337606305,1.0,0.3846153846153846,13,5
4457,AHNAK2,REL,R-4457,-1.0,2.1871628519985955,0.3212635654288198,1.3434781167867602e-14,-5.581830546605122,5.195692823194561,1.0,1.0,1,1
3304,AHNAK2,BRF1,R-3304,1.0,3.5444503062015693,0.159932422692801,0.0001725458050955,2.306899149544722,1.474972548602369,1.0,0.6666666666666666,3,2
3305,AHNAK2,BRF1,R-3305,1.0,3.5444503062015693,0.3261726130659529,5.031392802385628e-15,2.880011000090645,1.9803109460379025,1.0,0.6666666666666666,3,2
2739,AHNAK2,NFIX,R-2739,1.0,9.042900749817912,-0.2416580870389968,1.0402688758512214e-08,-2.9437258710926018,2.1381999166902976,1.0,0.2,10,2
2735,AHNAK2,NFIX,R-2735,1.0,9.042900749817912,0.4902807396902593,2.0132028589499197e-34,3.524603382020187,2.6877289733217444,1.0,0.2,10,2
2543,AHNAK2,MEF2D,R-2543,1.0,4.11546800744836,-0.1573634468121984,0.0002198450857948,-2.5328690746792573,1.688816887726706,1.0,0.5,12,6
2544,AHNAK2,MEF2D,R-2544,1.0,4.11546800744836,-0.134776358031272,0.0015811117301288,-2.17909488452906,1.3902940845982623,1.0,0.5,12,6
2546,AHNAK2,MEF2D,R-2546,1.0,4.11546800744836,-0.3772392021701459,6.093479717094447e-20,-2.9213237554902656,2.0424934985272705,1.0,0.5,12,6
2539,AHNAK2,MEF2D,R-2539,1.0,4.11546800744836,0.68873240345371,3.8365049205955633e-78,2.757510987912972,1.9013318208313708,1.0,0.5,12,6
2545,AHNAK2,MEF2D,R-2545,1.0,4.11546800744836,0.5031854479738758,1.898347389016145e-36,2.6328333062485068,1.7739884392487215,1.0,0.5,12,6
2542,AHNAK2,MEF2D,R-2542,1.0,4.11546800744836,0.4500342329710215,1.2424135470915938e-28,2.42921514131871,1.6069103766865205,1.0,0.5,12,6
1318,AHNAK2,ARNT,R-1318,1.0,2.896253387577255,0.5534726485966827,3.180524911866052e-45,3.963256136987423,3.0540873134704483,1.0,0.3333333333333333,3,1
946,AHNAK2,NFKB2,R-946,1.0,3.063949881515974,0.4227478642336059,4.0120111114446815e-25,3.640529544224446,2.7934294754428963,1.0,0.5,4,2
944,AHNAK2,NFKB2,R-944,1.0,3.063949881515974,0.4778977744389612,1.4724777870319003e-32,4.10949235691704,3.250954247894048,1.0,0.5,4,2
1988,AHNAK2,HSF1,R-1988,1.0,4.012622489416347,-0.2109634517392827,6.395493634429696e-07,-3.03833239306167,2.146944321049026,1.0,0.2857142857142857,14,4
1995,AHNAK2,HSF1,R-1995,1.0,4.012622489416347,0.2499537719249751,3.087312265156657e-09,2.257407901558856,1.451844979118574,1.0,0.2857142857142857,14,4
1983,AHNAK2,HSF1,R-1983,1.0,4.012622489416347,0.4956882880127117,2.921593674151048e-35,5.2094603032811015,4.544093019982576,1.0,0.2857142857142857,14,4
1996,AHNAK2,HSF1,R-1996,1.0,4.012622489416347,-0.2325491399671732,3.75441148804144e-08,-2.243160486947653,1.4253284546529446,1.0,0.2857142857142857,14,4
3634,AHNAK2,SOX18,R-3634,1.0,3.0460472840863257,0.2530865030297901,1.929095313614252e-09,2.6819406267859547,1.8301213006221253,1.0,0.4666666666666667,15,7
3632,AHNAK2,SOX18,R-3632,1.0,3.0460472840863257,0.3792604798422862,3.727571624238447e-20,4.091242609689183,3.305619638169204,1.0,0.4666666666666667,15,7
3642,AHNAK2,SOX18,R-3642,1.0,3.0460472840863257,-0.5040833944208688,1.3620545265765475e-36,-2.155961297069789,1.348291085718002,1.0,0.4666666666666667,15,7
3633,AHNAK2,SOX18,R-3633,1.0,3.0460472840863257,0.5672181139561274,6.827010959194647e-48,2.4419274852800656,1.5991932754272304,1.0,0.4666666666666667,15,7
3640,AHNAK2,SOX18,R-3640,1.0,3.0460472840863257,0.3195669474175992,1.878650396229192e-14,3.653373048343395,2.7790443337926374,1.0,0.4666666666666667,15,7
3635,AHNAK2,SOX18,R-3635,1.0,3.0460472840863257,-0.1955054579922805,4.093969320396514e-06,-3.1911541446078333,2.2835858647945235,1.0,0.4666666666666667,15,7
3637,AHNAK2,SOX18,R-3637,1.0,3.0460472840863257,-0.4756221507045509,3.179952109242949e-32,-3.684455941283797,2.9704149379219293,1.0,0.4666666666666667,15,7
3670,AHNAK2,NR1H2,R-3670,1.0,4.185631940864076,0.4628139311548483,2.1791592386268476e-30,3.0250099361523137,2.1501112244504643,1.0,1.0,5,5
3666,AHNAK2,NR1H2,R-3666,1.0,4.185631940864076,0.5997322510953597,9.945131572921602e-55,2.650592516349863,1.8111671304700772,1.0,1.0,5,5
3667,AHNAK2,NR1H2,R-3667,1.0,4.185631940864076,0.5003454824576002,5.389824357653417e-36,2.068967037782823,1.301743044224162,1.0,1.0,5,5
3669,AHNAK2,NR1H2,R-3669,1.0,4.185631940864076,0.5141240150047313,3.1079034851377503e-38,2.7318792239547736,1.892897355258447,1.0,1.0,5,5
3668,AHNAK2,NR1H2,R-3668,1.0,4.185631940864076,0.6499040464999444,5.862582391779384e-67,4.7224955408410345,4.086459199608204,1.0,1.0,5,5
2185,AHNAK2,MYBL2,R-2185,1.0,3.317137328294023,0.2437473320791753,7.692744381627552e-09,2.18700611366342,1.386872957681243,1.0,0.25,4,1
1843,AHNAK2,ELF5,R-1843,-1.0,2.437671371605699,0.4199532836157289,8.811498302205913e-25,-3.4979772308067822,2.5581162098991777,1.0,0.1428571428571428,21,3
1831,AHNAK2,ELF5,R-1831,-1.0,2.437671371605699,-0.4795221725391595,8.468873275808467e-33,2.24789577681867,1.429848292776626,1.0,0.1428571428571428,21,3
1836,AHNAK2,ELF5,R-1836,-1.0,2.437671371605699,0.2462533996514967,5.336689493487773e-09,-2.28826046808469,1.4556038613455304,1.0,0.1428571428571428,21,3
2466,AHNAK2,MEOX2,R-2466,1.0,6.574327068804745,0.2975499193556546,1.2055517813999813e-12,4.97941351373522,4.206397315057609,1.0,0.4761904761904761,21,10
2469,AHNAK2,MEOX2,R-2469,1.0,6.574327068804745,0.4811164362399366,4.906863919942246e-33,2.2646037081816344,1.4589501278058423,1.0,0.4761904761904761,21,10
2474,AHNAK2,MEOX2,R-2474,1.0,6.574327068804745,-0.421643229533647,5.480321974597176e-25,-2.482450255444689,1.6394190408815903,1.0,0.4761904761904761,21,10
2467,AHNAK2,MEOX2,R-2467,1.0,6.574327068804745,-0.3530922366308479,1.6653632719090126e-17,-5.063546184651913,4.739576203176857,1.0,0.4761904761904761,21,10
2477,AHNAK2,MEOX2,R-2477,1.0,6.574327068804745,-0.2312268190582552,4.5037359136000226e-08,-2.689179129687486,1.837581367426145,1.0,0.4761904761904761,21,10
2481,AHNAK2,MEOX2,R-2481,1.0,6.574327068804745,0.2400084669597205,1.3175857360761494e-08,3.7317275682578215,2.855107260416604,1.0,0.4761904761904761,21,10
2482,AHNAK2,MEOX2,R-2482,1.0,6.574327068804745,0.1727074284154042,4.894706646486165e-05,2.3789352401619164,1.5386404699066116,1.0,0.4761904761904761,21,10
2473,AHNAK2,MEOX2,R-2473,1.0,6.574327068804745,0.4064040217912033,3.6053367450905226e-23,3.298126541588455,2.457909695708312,1.0,0.4761904761904761,21,10
2476,AHNAK2,MEOX2,R-2476,1.0,6.574327068804745,-0.2028698359647531,1.7209442900932785e-06,-4.220478478913492,3.3519656693764395,1.0,0.4761904761904761,21,10
2468,AHNAK2,MEOX2,R-2468,1.0,6.574327068804745,0.272114066693658,9.660059680548386e-11,2.8031710251396538,1.940286958868108,1.0,0.4761904761904761,21,10
452,AHNAK2,KLF13,R-452,1.0,1.3368685043667607,0.4200599637888632,8.551944384258101e-25,3.3526453071422133,2.543107048909948,0.8333333333333334,0.625,8,6
456,AHNAK2,KLF13,R-456,1.0,1.3368685043667607,0.2919284974489873,3.300837226909992e-12,2.8836465350435825,2.0779190803808927,0.8333333333333334,0.625,8,6
450,AHNAK2,KLF13,R-450,1.0,1.3368685043667607,0.4939052260673846,5.542198257570123e-35,6.752265465036956,6.900999979703476,0.8333333333333334,0.625,8,6
451,AHNAK2,KLF13,R-451,1.0,1.3368685043667607,0.4293330736838122,6.101727839307421e-26,4.330512086970193,3.455416516168017,0.8333333333333334,0.625,8,6
453,AHNAK2,KLF13,R-453,1.0,1.3368685043667607,0.4278421907693715,9.380064350176316e-26,3.555670810158081,2.678543018704894,0.8333333333333334,0.625,8,6
2181,AHNAK2,ELK1,R-2181,1.0,8.825884265539415,0.4302494966968738,4.679469031895981e-26,2.5777076536419328,1.6989759025144524,1.0,0.5882352941176471,17,10
2174,AHNAK2,ELK1,R-2174,1.0,8.825884265539415,0.3552457830537334,1.0292465133881439e-17,2.2804829252078345,1.4649536983035458,1.0,0.5882352941176471,17,10
2171,AHNAK2,ELK1,R-2171,1.0,8.825884265539415,-0.2356306205970599,2.446376416805216e-08,-2.4428858133575515,1.6333894057856702,1.0,0.5882352941176471,17,10
2182,AHNAK2,ELK1,R-2182,1.0,8.825884265539415,0.281648854621539,1.9674528281725572e-11,2.989521921578219,2.09772008784966,1.0,0.5882352941176471,17,10
2179,AHNAK2,ELK1,R-2179,1.0,8.825884265539415,-0.1330672756699258,0.0018150108357445,-2.646432990306373,1.8293523691456195,1.0,0.5882352941176471,17,10
2172,AHNAK2,ELK1,R-2172,1.0,8.825884265539415,0.7660937855829699,1.0564124608828912e-106,4.210767412947746,3.4448529907995105,1.0,0.5882352941176471,17,10
2177,AHNAK2,ELK1,R-2177,1.0,8.825884265539415,0.6608446664825852,6.105404196637836e-70,4.252553562427892,3.497888632598811,1.0,0.5882352941176471,17,10
2183,AHNAK2,ELK1,R-2183,1.0,8.825884265539415,0.5081497053500948,2.9914917212512235e-37,2.5871023606654915,1.7359232927679742,1.0,0.5882352941176471,17,10
2180,AHNAK2,ELK1,R-2180,1.0,8.825884265539415,0.5735452380390262,3.658852564370427e-49,2.2471059509583986,1.420192504571503,1.0,0.5882352941176471,17,10
2178,AHNAK2,ELK1,R-2178,1.0,8.825884265539415,0.6643905541342121,6.194219535262861e-71,4.016747700626591,3.092315589425891,1.0,0.5882352941176471,17,10
1443,AHNAK2,HOXC10,R-1443,1.0,2.0648718446302023,-0.0862555757803892,0.0437484866797224,-2.239755873201835,1.4545473105824906,1.0,0.25,4,1
4235,AHNAK2,LHX6,R-4235,-1.0,4.000114903578794,-0.5238242855104569,7.138604039129661e-40,2.6576214278360486,1.811880424626077,1.0,0.4444444444444444,9,4
4236,AHNAK2,LHX6,R-4236,-1.0,4.000114903578794,-0.6095956579483179,5.824159636118719e-57,3.2560684263045028,2.367051974860233,1.0,0.4444444444444444,9,4
4232,AHNAK2,LHX6,R-4232,-1.0,4.000114903578794,-0.4382757316610183,4.42152926005119e-27,3.714398397568596,2.7888872240354985,1.0,0.4444444444444444,9,4
4239,AHNAK2,LHX6,R-4239,-1.0,4.000114903578794,0.1178239620239113,0.0057981632727616,-2.6637377998298986,1.850220871452276,1.0,0.4444444444444444,9,4
3283,AHNAK2,RELA,R-3283,1.0,3.600289869060405,-0.2493307743778126,3.387399038602323e-09,-3.6698060220123216,2.758027426901738,1.0,0.25,4,1
355,AHNAK2,TFCP2,R-355,1.0,1.5848640216385523,0.5021518600696331,2.778480510987892e-36,2.6718276700400154,1.8112806348216608,1.0,0.5,14,7
346,AHNAK2,TFCP2,R-346,1.0,1.5848640216385523,0.6046161500731216,7.979832189050563e-56,4.944026332320326,4.144177339951091,1.0,0.5,14,7
349,AHNAK2,TFCP2,R-349,1.0,1.5848640216385523,0.2263426268016667,8.737330710218674e-08,2.616632792992051,1.7709154808304082,1.0,0.5,14,7
347,AHNAK2,TFCP2,R-347,1.0,1.5848640216385523,0.4794766410013476,8.601547398937988e-33,2.6956922308183566,1.858487783765648,1.0,0.5,14,7
358,AHNAK2,TFCP2,R-358,1.0,1.5848640216385523,0.3052613194995665,2.9199359522351337e-13,2.4895862436311784,1.625743128793364,1.0,0.5,14,7
350,AHNAK2,TFCP2,R-350,1.0,1.5848640216385523,0.3514018507946902,2.423442337866348e-17,2.3592303065849696,1.5225183757221052,1.0,0.5,14,7
345,AHNAK2,TFCP2,R-345,1.0,1.5848640216385523,0.5154293257417131,1.883639755753463e-38,6.953238234036557,7.903853397893181,1.0,0.5,14,7
4152,AHNAK2,SP100,R-4152,-1.0,2.6984695274009094,-0.2727784898750617,8.663369334394657e-11,2.457694591759181,1.6248241501188363,1.0,1.0,1,1
3847,AHNAK2,FOSL1,R-3847,1.0,1.5923598228735114,0.3626571589581503,1.909741484170729e-18,2.4331429397398514,1.6070898845308406,0.6666666666666666,0.1538461538461538,13,3
3852,AHNAK2,FOSL1,R-3852,1.0,1.5923598228735114,0.1473564066539686,0.0005454474454445,3.612813066963778,2.8069836551308844,0.6666666666666666,0.1538461538461538,13,3
528,AHNAK2,ESRRG,R-528,-1.0,2.5515041182264797,-0.4306055371922276,4.2201035668591836e-26,2.2507304853428125,1.425617186342188,0.8,0.5,8,5
526,AHNAK2,ESRRG,R-526,-1.0,2.5515041182264797,-0.5143963243951234,2.8001251958393403e-38,4.819301656454337,4.021016754037662,0.8,0.5,8,5
525,AHNAK2,ESRRG,R-525,-1.0,2.5515041182264797,-0.4370331092731979,6.3973704645180494e-27,6.69398726383837,7.268856142485869,0.8,0.5,8,5
527,AHNAK2,ESRRG,R-527,-1.0,2.5515041182264797,-0.4725873014080756,8.799581264335347e-32,2.2760724097487444,1.453636440494188,0.8,0.5,8,5
788,AHNAK2,NRF1,R-788,1.0,2.2668425914279164,0.1710075110173856,5.819100629060156e-05,4.14187774625858,3.2882933335024545,1.0,0.5384615384615384,13,7
776,AHNAK2,NRF1,R-776,1.0,2.2668425914279164,0.5308788144027471,4.247110828098967e-41,5.115266163822792,4.278722457552616,1.0,0.5384615384615384,13,7
787,AHNAK2,NRF1,R-787,1.0,2.2668425914279164,0.6322286448655895,2.159151256305903e-62,2.4909503188907243,1.623748357890333,1.0,0.5384615384615384,13,7
782,AHNAK2,NRF1,R-782,1.0,2.2668425914279164,0.4977020870747767,1.411236077606556e-35,3.89458853697853,2.9416356279463307,1.0,0.5384615384615384,13,7
783,AHNAK2,NRF1,R-783,1.0,2.2668425914279164,0.6749789462462435,5.5174629833950506e-74,3.9207805613891655,3.021203292136272,1.0,0.5384615384615384,13,7
780,AHNAK2,NRF1,R-780,1.0,2.2668425914279164,0.6153411367985887,2.680911634058308e-58,4.072395675192291,3.173813834361941,1.0,0.5384615384615384,13,7
