,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
3066,hsa-let-7a-1,FOXO4,3066,-1.0,1.3786732501615455,-0.4212532371782956,6.47905409850049e-12,2.754673702023983,2.196406295759561,1.0,0.4166666666666667,12,5
1913,hsa-let-7a-1,PBX1,1913,-1.0,1.3867986274091928,-0.334403925504628,8.718316442141266e-08,2.221780712353767,1.56424622222719,1.0,0.3571428571428571,14,5
4470,hsa-let-7a-1,RARB,4470,-1.0,2.369983442229465,-0.3561437939407107,1.0445101675429183e-08,1.9936142069336928,1.3247254180420265,1.0,0.25,4,1
3657,hsa-let-7a-1,STAT5B,3657,-1.0,1.5015436062655247,-0.429761801502629,2.1804332848339308e-12,2.3660288701808443,1.7261395761295335,1.0,0.4,5,2
3066,hsa-let-7a-2,FOXO4,3066,-1.0,1.3738502026879722,-0.4212532371782956,6.47905409850049e-12,2.2456887748750503,1.590406036342331,1.0,0.25,12,3
3657,hsa-let-7a-2,STAT5B,3657,-1.0,1.328478930317306,-0.429761801502629,2.1804332848339308e-12,2.18128078063089,1.5207141426315218,1.0,0.4,5,2
3837,hsa-let-7c,NF1,3837,-1.0,1.6160202271785304,-0.3886439578867369,3.2036298798576966e-10,2.253817731218315,1.600195854123154,1.0,0.1666666666666666,6,1
3657,hsa-let-7c,STAT5B,3657,-1.0,1.4280505251071456,-0.429761801502629,2.1804332848339308e-12,2.4098063016423104,1.776975517997937,1.0,0.2,5,1
1442,hsa-let-7d,HOXC10,1442,-1.0,1.6780554453667895,-0.359168214695075,7.675136761060936e-09,2.70612248062156,2.1367964960325816,1.0,0.5,4,2
3614,hsa-let-7d,SOX9,3614,-1.0,2.847214550189494,-0.4224956527844896,5.536973883263748e-12,4.327502247130258,4.649582649196828,1.0,0.391304347826087,23,9
3952,hsa-let-7d,POU4F1,3952,-1.0,2.1586728281963707,-0.32459174254511,2.156322841295698e-07,3.1950805316758366,2.7987386900911355,0.75,0.3,10,4
4336,hsa-let-7d,SOX11,4336,-1.0,1.7404228128801025,-0.4412285375595289,4.784750200297715e-13,2.028780611753755,1.3605915812533815,1.0,0.4444444444444444,18,8
4348,hsa-let-7d,SOX11,4348,-1.0,1.7404228128801025,-0.5415180765688182,5.414429375295863e-20,4.514356075859888,4.994057133623111,1.0,0.4444444444444444,18,8
1922,hsa-let-7d,PBX1,1922,-1.0,2.259081899322302,-0.424455100801705,4.3159982066030665e-12,3.9483048424232,3.978162008708688,1.0,0.4285714285714285,14,6
1913,hsa-let-7d,PBX1,1913,-1.0,2.259081899322302,-0.334403925504628,8.718316442141266e-08,4.182370643130879,4.389832531641796,1.0,0.4285714285714285,14,6
1919,hsa-let-7d,PBX1,1919,-1.0,2.259081899322302,-0.3593381493459557,7.542670905486422e-09,4.122505683636015,4.284290214016544,1.0,0.4285714285714285,14,6
2240,hsa-let-7d,FEV,2240,-1.0,1.4787083024707277,-0.3174109587835758,4.100709914072764e-07,4.377893176913693,4.744170892036904,1.0,0.6153846153846154,13,8
2239,hsa-let-7d,FEV,2239,-1.0,1.4787083024707277,-0.4314144611853735,1.7584527720204876e-12,2.985286656149194,2.5051757307690976,1.0,0.6153846153846154,13,8
2243,hsa-let-7d,FEV,2243,-1.0,1.4787083024707277,-0.3849644108568301,4.846996279087899e-10,3.808724091091293,3.74760202488376,1.0,0.6153846153846154,13,8
2247,hsa-let-7d,FEV,2247,-1.0,1.4787083024707277,-0.4947586820848502,1.804364973627017e-16,3.903921068613239,3.907982032370808,1.0,0.6153846153846154,13,8
1079,hsa-let-7d,POU3F4,1079,-1.0,2.9566278056722606,-0.4272993625390643,2.997696849681359e-12,2.449594965596267,1.8234687749348832,1.0,0.5333333333333333,15,8
994,hsa-let-7d,MEIS1,994,-1.0,1.7568722198370523,-0.3072306909761146,9.915141510351035e-07,3.7855727076299863,3.713038511045207,1.0,0.5,6,3
1640,hsa-let-7d,TCF7L2,1640,-1.0,1.9432719541169237,-0.3156446063549888,4.790898296521369e-07,3.768859656651877,3.6842689699488265,1.0,1.0,2,2
3913,hsa-let-7d,SCRT1,3913,-1.0,2.8626097701748607,-0.5429033263345194,4.175043944260586e-20,2.500817007951841,1.884279028731931,1.0,1.0,2,2
2423,hsa-let-7d,HOXC11,2423,-1.0,1.9893686846456669,-0.3803030777152191,8.130258908925033e-10,2.1969749633576554,1.5380134919170971,0.6,0.5,6,5
2515,hsa-let-7d,AHR,2515,1.0,1.7824103486210752,-0.3322619150878323,1.0652859377410929e-07,-2.973498961321774,2.489141330566558,1.0,1.0,1,1
348,hsa-let-7d,TFCP2,348,-1.0,1.586250723957059,-0.3537877567541892,1.3249435140219849e-08,3.3577732798991717,3.039147560272198,1.0,0.3571428571428571,14,5
730,hsa-let-7d,MAZ,730,-1.0,1.9821345386818967,-0.3955020259469908,1.4604146715537928e-10,4.358098127802503,4.7085354481027535,0.8571428571428571,0.3,20,7
4173,hsa-let-7d,SOX1,4173,-1.0,1.4787083024707277,-0.4239591307962889,4.597612446589782e-12,3.8544229000645926,3.821969603541952,1.0,0.4545454545454545,11,5
4169,hsa-let-7d,SOX1,4169,-1.0,1.4787083024707277,-0.3739419794270386,1.625484270812853e-09,2.4146909508422763,1.782357272393189,1.0,0.4545454545454545,11,5
4168,hsa-let-7d,SOX1,4168,-1.0,1.4787083024707277,-0.3166937860000699,4.3685897008275356e-07,3.7888496809896064,3.718027687596527,1.0,0.4545454545454545,11,5
4279,hsa-let-7d,NKX2-2,4279,-1.0,1.39032392840334,-0.3800772338238712,8.334858621038667e-10,4.226873138800722,4.464290497770438,1.0,0.5,14,7
4272,hsa-let-7d,NKX2-2,4272,-1.0,1.39032392840334,-0.5089481409092997,1.7537238247490804e-17,1.9918023083464085,1.3229142569919763,1.0,0.5,14,7
4273,hsa-let-7d,NKX2-2,4273,-1.0,1.39032392840334,-0.4475708147096681,2.0173081652890091e-13,3.541502961049233,3.3190693406129474,1.0,0.5,14,7
3994,hsa-let-7e,VAX2,3994,-1.0,1.860054192770268,-0.4360606173252543,9.545261516305737e-13,2.123283032344356,1.4590994296795403,1.0,0.4,5,2
3995,hsa-let-7e,VAX2,3995,-1.0,1.860054192770268,-0.3081157660392633,9.194512159359032e-07,2.4832083050830818,1.8629837677211212,1.0,0.4,5,2
1442,hsa-let-7e,HOXC10,1442,-1.0,2.087875477160332,-0.359168214695075,7.675136761060936e-09,1.9983627324991784,1.3297793982887387,1.0,0.75,4,3
3952,hsa-let-7e,POU4F1,3952,-1.0,3.942275026539903,-0.32459174254511,2.156322841295698e-07,2.137471075628589,1.474148034128652,1.0,0.4,10,4
3953,hsa-let-7e,POU4F1,3953,-1.0,3.942275026539903,-0.3034992337764445,1.3592009668989647e-06,2.973869016070021,2.489375142299356,1.0,0.4,10,4
4336,hsa-let-7e,SOX11,4336,-1.0,3.2927740908449885,-0.4412285375595289,4.784750200297715e-13,2.925799569948276,2.424507671979272,0.875,0.3888888888888889,18,8
4348,hsa-let-7e,SOX11,4348,-1.0,3.2927740908449885,-0.5415180765688182,5.414429375295863e-20,2.625612712589921,2.034933046442962,0.875,0.3888888888888889,18,8
4055,hsa-let-7e,SOX15,4055,-1.0,2.319944741059239,-0.3439318653994688,3.5090844907022054e-08,2.467245332914619,1.8443878993865108,0.8,0.4444444444444444,18,10
1922,hsa-let-7e,PBX1,1922,-1.0,2.7789380209753944,-0.424455100801705,4.3159982066030665e-12,3.619287009908672,3.442591212376645,0.8888888888888888,0.5714285714285714,14,9
1913,hsa-let-7e,PBX1,1913,-1.0,2.7789380209753944,-0.334403925504628,8.718316442141266e-08,2.982847049745325,2.5017594505739136,0.8888888888888888,0.5714285714285714,14,9
1919,hsa-let-7e,PBX1,1919,-1.0,2.7789380209753944,-0.3593381493459557,7.542670905486422e-09,2.981036024309652,2.4991595637081483,0.8888888888888888,0.5714285714285714,14,9
2240,hsa-let-7e,FEV,2240,-1.0,2.035893613355672,-0.3174109587835758,4.100709914072764e-07,2.5216366682868423,1.9088335034031445,0.8571428571428571,0.4615384615384615,13,7
2239,hsa-let-7e,FEV,2239,-1.0,2.035893613355672,-0.4314144611853735,1.7584527720204876e-12,2.578656931655435,1.9783598435653864,0.8571428571428571,0.4615384615384615,13,7
2243,hsa-let-7e,FEV,2243,-1.0,2.035893613355672,-0.3849644108568301,4.846996279087899e-10,3.331918458131218,3.000350348816117,0.8571428571428571,0.4615384615384615,13,7
2247,hsa-let-7e,FEV,2247,-1.0,2.035893613355672,-0.4947586820848502,1.804364973627017e-16,3.349989014310827,3.026432619559212,0.8571428571428571,0.4615384615384615,13,7
3712,hsa-let-7e,FOXD3,3712,-1.0,2.20302979621716,-0.3072540701884445,9.895429965152964e-07,3.0045719365144707,2.531668695861154,1.0,0.7142857142857143,14,10
3717,hsa-let-7e,FOXD3,3717,-1.0,2.20302979621716,-0.3122783126543392,6.426408336591298e-07,2.9593780416273154,2.469800153881908,1.0,0.7142857142857143,14,10
3710,hsa-let-7e,FOXD3,3710,-1.0,2.20302979621716,-0.4204007209525742,7.213968156550398e-12,2.8683545477664985,2.347642181936409,1.0,0.7142857142857143,14,10
2708,hsa-let-7e,ONECUT2,2708,-1.0,1.710324206428628,-0.3951894384738856,1.5142498865771252e-10,2.0833106498969274,1.4167894354124222,1.0,0.5714285714285714,7,4
2711,hsa-let-7e,ONECUT2,2711,-1.0,1.710324206428628,-0.4754974981305006,3.610377624086328e-15,2.461128432036446,1.837061141613134,1.0,0.5714285714285714,7,4
730,hsa-let-7e,MAZ,730,-1.0,1.5547817962419035,-0.3955020259469908,1.4604146715537928e-10,3.0843190869367207,2.6417890432428366,0.5555555555555556,0.25,20,9
4173,hsa-let-7e,SOX1,4173,-1.0,2.035893613355672,-0.4239591307962889,4.597612446589782e-12,3.3689600267440416,3.0557337912063027,1.0,0.6363636363636364,11,7
4169,hsa-let-7e,SOX1,4169,-1.0,2.035893613355672,-0.3739419794270386,1.625484270812853e-09,2.8519830108057844,2.3259899111845725,1.0,0.6363636363636364,11,7
4168,hsa-let-7e,SOX1,4168,-1.0,2.035893613355672,-0.3166937860000699,4.3685897008275356e-07,3.2839681019627784,2.929985300771842,1.0,0.6363636363636364,11,7
4171,hsa-let-7e,SOX1,4171,-1.0,2.035893613355672,-0.381403496235897,7.201009390639267e-10,3.524931840786835,3.2948472890899785,1.0,0.6363636363636364,11,7
1939,hsa-let-7e,SOX4,1939,-1.0,1.4472632529772218,-0.5227876700163976,1.6222552956374865e-18,2.625612712589921,2.034933046442962,0.8571428571428571,0.375,16,7
1928,hsa-let-7e,SOX4,1928,-1.0,1.4472632529772218,-0.3705991929255005,2.325445663816092e-09,2.731155845259167,2.168953657969588,0.8571428571428571,0.375,16,7
1932,hsa-let-7e,SOX4,1932,-1.0,1.4472632529772218,-0.435445192041601,1.0355419903715454e-12,3.6768253498719785,3.5354109633712945,0.8571428571428571,0.375,16,7
4279,hsa-let-7e,NKX2-2,4279,-1.0,1.9505834601687744,-0.3800772338238712,8.334858621038667e-10,3.9801775321763606,4.0398848082067005,0.8888888888888888,0.5714285714285714,14,9
4272,hsa-let-7e,NKX2-2,4272,-1.0,1.9505834601687744,-0.5089481409092997,1.7537238247490804e-17,3.4731567963737544,3.215178347272012,0.8888888888888888,0.5714285714285714,14,9
4273,hsa-let-7e,NKX2-2,4273,-1.0,1.9505834601687744,-0.4475708147096681,2.0173081652890091e-13,3.662809652953686,3.5107055623991608,0.8888888888888888,0.5714285714285714,14,9
3238,hsa-let-7e,SATB1,3238,-1.0,1.7722808313141358,-0.4046598845974333,4.971970380856094e-11,1.9890463068058903,1.320209346110947,1.0,0.1764705882352941,17,3
