Source,Target,Edge,Coef
HSF1,ERG,-1,-0.023707493974895678
MYBL2,ERG,1,0.01541598108775155
KLF13,ERG,1,0.017818628054401313
HOXC10,ERG,-1,-0.004349859887716934
LHX6,ERG,1,0.15990761156705144
ESRRG,ERG,1,0.005642943704884223
E2F1,ERG,-1,-0.02814404067647387
SOX21,ERG,-1,-0.00322885655788489
IRF8,ERG,-1,-0.0286529170878306
SOX9,ERG,-1,-0.03506936913380217
ZNF281,ERG,-1,-0.08202007606578063
SP1,ERG,-1,-0.0741395973576938
HMGA1,ERG,-1,-0.02761782325066694
ZNF219,ERG,1,0.03186896392268491
KLF11,ERG,1,0.08209342465129985
SP4,ERG,1,0.041508791647306496
HOXC13,ERG,-1,-0.014116190273116872
SOX17,ERG,1,0.17392243570563634
RXRA,ERG,-1,-0.03455731517266914
TEAD3,ERG,1,0.012637035596114976
KLF15,ERG,1,0.020288326383942054
SPI1,ERG,-1,-0.030308715017899626
SOX2,ERG,1,0.0276166310391128
SRF,ERG,1,0.016753842992412515
POU3F3,ERG,1,0.04201450816944787
EWSR1,ERG,-1,-0.037446482847791535
PATZ1,ERG,-1,-0.01900854972257931
CEBPA,ERG,-1,-0.0753428561693335
TCF3,ERG,1,0.027071405823714315
NFATC1,ERG,1,0.09889827465092474
TAL1,ERG,1,0.08392854221070924
RUNX1,ERG,-1,-0.0004109822112288981
HBP1,ERG,1,0.004055003567444512
ELF4,ERG,-1,-0.042078756594500014
EMX2,ERG,-1,-0.021903659262357385
EGR1,ERG,1,0.03032289715419491
IRF1,ERG,1,0.007318878384981703
FOXF2,ERG,1,0.20586224844856582
RUNX2,ERG,-1,-0.017756634668462577
TFAP2C,ERG,1,0.059855178031976125
HOXD13,ERG,-1,-0.011750876634591453
IRF2,ERG,1,0.029794405453222508
PRDM1,ERG,1,0.02698997726282818
SMAD4,ERG,-1,-0.09546806089679157
POU3F2,ERG,1,0.03203246693736899
RFX3,ERG,1,8.099956582329581e-05
HOXD11,ERG,1,0.012504384968683583
E2F3,ERG,-1,-0.013714067346433354
FLI1,ERG,1,0.33108529851078783
SOX1,ERG,1,0.01491359285033378
HOXB13,ERG,-1,-0.020187816210618024
HOXA3,ERG,1,0.01905915226175437
TEAD4,ERG,-1,-0.0028774110646195305
MSX1,ERG,1,0.007481727667274941
MAFB,ERG,-1,-0.014396808498318786
HIC1,ERG,1,0.12829268348782866
RUNX3,ERG,1,0.0028587724814790735
ARID3A,ERG,-1,-0.06699135769699169
HOXC4,ERG,-1,-0.021857650771260458
TEAD1,ERG,1,0.010611788381155814
FOXO3,ERG,1,0.019068165375580853
BCL6,ERG,-1,-0.0373417880402331
HOXA9,ERG,-1,-0.013229935892767011
NFIL3,ERG,1,0.0696844955729927
EN1,ERG,-1,-0.017543546939985107
ZNF35,ERG,1,0.07531953281117729
HSF1,NR2F6,1,0.1423742042293759
NR1H2,NR2F6,1,0.021127962516021805
RARA,NR2F6,1,0.04303184472645224
ELF3,NR2F6,1,0.21323965933976935
ETS1,NR2F6,1,0.0006462227278846389
PLAG1,NR2F6,1,0.016425514692584634
TRIM28,NR2F6,1,0.1147173268422991
HMGA1,NR2F6,1,0.045554615189209356
ZNF219,NR2F6,1,0.09583618989045652
TP53,NR2F6,-1,-0.01796921106623491
KLF11,NR2F6,-1,-0.011457954326925441
GABPA,NR2F6,-1,-0.023373799573678154
ETV6,NR2F6,1,0.05945987434452816
KLF15,NR2F6,1,0.008024747619534664
SOX13,NR2F6,-1,-0.006461607280094145
SOX2,NR2F6,-1,-0.01430722140694024
SRF,NR2F6,1,0.016889911306721708
THRA,NR2F6,-1,-0.07217265590569122
SF1,NR2F6,-1,-0.07028366612360473
POU3F3,NR2F6,1,0.12556018019020096
ESR2,NR2F6,1,0.042322217224891975
PATZ1,NR2F6,-1,-0.10480488672081062
POU3F4,NR2F6,1,0.03614324508195818
CEBPA,NR2F6,1,0.001618877429630531
NFKB1,NR2F6,-1,-0.09062103270904749
TCF3,NR2F6,1,0.27277485730303735
MZF1,NR2F6,1,0.014723549953490267
RFX2,NR2F6,1,0.03164973670906022
SOX12,NR2F6,-1,-0.08626579503609257
RFX1,NR2F6,1,0.17095427774798203
JUN,NR2F6,1,0.04661472685990156
TAL1,NR2F6,-1,-0.04347026211357813
XBP1,NR2F6,1,0.09751259022276654
ELF4,NR2F6,-1,-0.14196793529761834
EGR1,NR2F6,-1,-0.03325844228542684
NR2C2,NR2F6,-1,-0.06887950310295603
IRF2,NR2F6,-1,-0.03712733754182037
POU4F1,NR2F6,-1,-0.008626781644050192
FOXC1,NR2F6,1,0.13725597887435528
SMAD3,NR2F6,1,0.07786611350430678
NR2F1,NR2F6,1,0.01566745987770266
IRF7,NR2F6,-1,-0.02035735200819084
PITX1,NR2F6,1,0.026042878263742623
POU3F2,NR2F6,1,0.003369392409903507
RFX3,NR2F6,-1,-0.08822444456800181
MAZ,NR2F6,1,0.10867404367314942
RORA,NR2F6,1,0.13345118807719722
AR,NR2F6,-1,-0.024987285985350723
NR4A1,NR2F6,-1,-0.015212948054005143
RARG,NR2F6,1,0.12214332801437892
FOXO3,NR2F6,1,0.03550367176071247
PPARA,NR2F6,1,0.059725453339718626
SREBF1,NR2F6,-1,-0.022272594517478785
NKX6-1,NR2F6,-1,-0.028353395960794177
TFAP2A,NR2F6,-1,-0.04327171225650671
ZNF35,NR2F6,-1,-0.06099203877049685
NR2F6,ETV1,1,0.08711587838407663
MEOX2,ETV1,1,0.16055324182689998
ELK1,ETV1,-1,-0.011747794362384142
HOXC10,ETV1,-1,-0.015838215247801154
ERF,ETV1,1,0.06453538375747796
SOX21,ETV1,1,0.05469963002652243
SOX9,ETV1,1,0.031372390105803685
FOXJ1,ETV1,-1,-0.011663420582543356
HMGA1,ETV1,1,0.12491882805968732
KLF11,ETV1,1,0.05351421511771358
NFYA,ETV1,1,0.07711185793635411
ZNF282,ETV1,1,0.027905583106204526
SOX13,ETV1,1,0.009255284068074618
SOX2,ETV1,1,0.11930195795944469
SRF,ETV1,-1,-0.11142773301018913
POU3F3,ETV1,-1,-0.004314853647997486
ESR2,ETV1,1,0.13579273121341803
TRAF4,ETV1,1,0.22316997985243556
ZBTB16,ETV1,1,0.03283470250267027
TCF3,ETV1,1,0.02049359752335888
MZF1,ETV1,-1,-0.14892699602656934
RFX2,ETV1,-1,-0.02225326496992285
JUN,ETV1,1,0.0159804709284048
CEBPG,ETV1,-1,-0.030942514456555548
TAL1,ETV1,-1,-0.008916963102865341
RUNX1,ETV1,1,0.007219171123249712
SOX11,ETV1,1,0.0797213594273212
HBP1,ETV1,1,0.07578802578862408
ELF4,ETV1,-1,-0.19497238604229183
ZEB1,ETV1,1,0.3655441325928363
PRRX1,ETV1,1,0.016808321955909696
MAF,ETV1,1,0.015191210391750134
HOXD13,ETV1,1,0.02726565513616678
NR2E1,ETV1,-1,-0.04829081308604381
IRF2,ETV1,-1,-0.08141883435955312
FOXC1,ETV1,-1,-0.09463789292655454
HOXA10,ETV1,1,0.09763153409447568
IRF7,ETV1,-1,-0.11763228033721691
POU3F2,ETV1,-1,-0.0026256857834647284
DLX6,ETV1,1,0.03699988717738663
HOXB2,ETV1,-1,-0.017517835140365506
FLI1,ETV1,1,0.1579734389334622
HOXB13,ETV1,-1,-0.02094123527899135
RUNX3,ETV1,-1,-0.011997593198641411
NFATC4,ETV1,-1,-0.04273670903074181
ARID3A,ETV1,-1,-0.1429143696505225
FOXO3,ETV1,1,0.05990346713056
BCL6,ETV1,1,0.11383171282369604
NFIL3,ETV1,-1,-0.00024220889176034932
PARP1,ETV1,1,0.004548683985988019
PAX6,ETV1,-1,-0.0078411451318953
RFX5,ETV1,1,0.1340225429443863
EN1,ETV1,1,0.023187636096956614
SOX18,REL,-1,-0.059247489675646595
ELF5,REL,1,0.02049093225874373
MEOX2,REL,-1,-0.030253942476975455
RELA,REL,-1,-0.015276891455317309
ZNF652,REL,1,0.11267636175076712
RARA,REL,-1,-0.005580445315706909
SREBF2,REL,-1,-0.04382978030327924
E2F1,REL,1,0.014406038180260509
ARID5A,REL,1,0.03094670453971017
MEF2A,REL,1,0.029198383649670073
SOX9,REL,-1,-0.014653398082042196
FOXJ1,REL,-1,-0.0002694095776926352
STAT4,REL,1,0.05722530104010662
SP1,REL,1,0.05185663731566898
HMGA1,REL,-1,-0.045657478317846986
ZBTB33,REL,-1,-0.009337359343525477
SP4,REL,1,0.03539918438787596
RXRA,REL,-1,-0.013081639553536377
GABPA,REL,-1,-0.01213877438339987
HOXD9,REL,-1,-0.0033361539931978158
KLF15,REL,-1,-0.00964355628630154
ELF1,REL,1,0.07582439552117731
SPI1,REL,-1,-0.052072110083206787
SOX2,REL,-1,-0.032574265031086035
CEBPD,REL,1,0.0018087876700536628
TRAF4,REL,-1,-0.012784714303200571
POU3F4,REL,-1,-0.013504831308163026
CEBPA,REL,1,0.018361283984679608
ZBTB16,REL,1,0.036593848059045135
NFKB1,REL,1,0.08806051974535865
TCF3,REL,-1,-0.07518844724172177
VDR,REL,1,0.054706494020416364
IKZF1,REL,1,0.16279604602008088
ATF5,REL,-1,-0.017209992205736855
XBP1,REL,1,0.01779916724090645
SOX11,REL,1,0.01089104313747643
EGR2,REL,1,0.0034919857994125435
EMX2,REL,-1,-0.03912016596917649
EGR1,REL,-1,-0.005517036251324252
IRF1,REL,1,0.037116862292368956
NR2C2,REL,1,0.027125661360617285
MAF,REL,-1,-0.0025454245080692066
FOXD3,REL,1,0.0003448831327152195
IRF2,REL,-1,-0.05599707263603938
POU4F1,REL,1,0.006520781716983664
PRDM1,REL,1,0.088288609207626
FOXC1,REL,1,0.02835473209116516
CDC5L,REL,1,0.0179316300185747
FOXO1,REL,1,0.02219439384141052
NR2F1,REL,-1,-0.027198049376343205
IRF7,REL,1,0.0039643012283899735
POU3F2,REL,1,0.012903103564426466
HOXA4,REL,1,0.022620945897440136
AR,REL,1,0.02703576289450842
RARG,REL,-1,-7.127936469190727e-05
RUNX3,REL,1,0.0007170800115196095
NFATC4,REL,-1,-0.011599045010806157
ARID3A,REL,1,0.09695411419328812
PPARA,REL,1,0.044103672940965816
BCL6,REL,1,0.008240102666468744
NKX6-1,REL,1,0.002156044427138265
TFAP2A,REL,1,0.006896453272778107
PAX6,REL,1,0.04984927896307412
EN1,REL,-1,-0.004542911690153823
ZNF35,REL,1,0.042232665027713626
TFAP4,REL,1,0.08188589673665352
ETV1,BRF1,-1,-0.06328440027291415
HSF1,BRF1,1,0.08154682377936075
MYBL2,BRF1,-1,-0.12221947957155017
ELF5,BRF1,1,0.03449623328169784
MEOX2,BRF1,1,0.01666665804285566
SREBF2,BRF1,-1,-0.004157225892801835
E2F1,BRF1,1,0.16464822617564911
HMGA1,BRF1,-1,-0.03296419542802041
ZNF219,BRF1,1,0.16931846112305954
TP53,BRF1,-1,-0.006896793060053191
SP4,BRF1,1,0.07518969118604382
E2F4,BRF1,1,0.057180833299306844
SOX17,BRF1,1,0.020412540943943836
GBX2,BRF1,-1,-0.056799466455289056
NFYA,BRF1,1,0.11669210756204881
GABPA,BRF1,-1,-0.18658494124029928
KLF15,BRF1,1,0.11856673171263814
SPI1,BRF1,-1,-0.07939528059189119
SOX2,BRF1,-1,-0.03542002587864928
SRF,BRF1,1,0.04836775998886629
PATZ1,BRF1,1,0.13193684793433422
CEBPA,BRF1,1,0.013953442470743684
TCF3,BRF1,1,0.16672278135469826
JUN,BRF1,1,0.036011750536881826
TAL1,BRF1,1,0.2024414419296678
RUNX1,BRF1,1,0.006570787085801768
VENTX,BRF1,1,0.014075330006880412
HOXB3,BRF1,1,0.025482490979970265
EMX2,BRF1,1,0.029322374340043693
EGR1,BRF1,-1,-0.08573399955334292
IRF1,BRF1,1,0.11157416666703397
IRF2,BRF1,-1,-0.12348401612971044
NF1,BRF1,1,0.1585024371751246
NKX2-2,BRF1,1,0.06151922020312022
HOXB2,BRF1,-1,-0.024152987846286136
FLI1,BRF1,1,0.05362126006341183
HIC1,BRF1,1,0.18466320171086817
BCL6,BRF1,-1,-0.07407461168033364
NKX6-1,BRF1,-1,-0.045182935058660244
TFAP2A,BRF1,1,0.007817996347680267
PAX6,BRF1,1,0.06532333306023148
EN1,BRF1,-1,-0.0273725759069948
ERG,NFIX,-1,-0.012009471323265129
ETV1,NFIX,1,0.009025825661350372
NFKB2,NFIX,1,0.09660985740164581
SOX9,NFIX,1,0.043340729010191224
ZNF281,NFIX,-1,-0.0476324326193266
SP1,NFIX,1,0.19522510568389428
TP53,NFIX,1,0.04402911981739623
KLF11,NFIX,-1,-0.0193518658744226
SP4,NFIX,1,0.05734952500229498
RXRA,NFIX,1,0.10494983383005892
TEAD3,NFIX,1,0.0461995311358585
KLF15,NFIX,1,0.08578348901684522
SOX2,NFIX,1,0.09207777938591598
